日期,细分代码,细分名称,房晚,房晚占比,客房收入,平均ADR
2025-01-11,FIT-OTA,OTA散客,56,30.4,27823.0,497.0
2025-01-11,CORP,协议公司客户,43,23.4,17325.0,403.0
2025-01-11,LOY,会员忠诚计划,21,11.4,9701.0,462.0
2025-01-11,GRP,团队旅游会议,15,8.2,5507.0,367.0
2025-01-11,LNG,长住客,3,1.6,906.0,302.0
2025-01-12,FIT-WI,上门散客,13,8.2,6742.0,519.0
2025-01-12,FIT-DIR,官网小程序直销,25,15.7,11993.0,480.0
2025-01-12,FIT-OTA,OTA散客,50,31.4,21870.0,437.0
2025-01-12,CORP,协议公司客户,33,20.8,12638.0,383.0
2025-01-12,LOY,会员忠诚计划,20,12.6,8846.0,442.0
2025-01-12,GRP,团队旅游会议,12,7.5,3887.0,324.0
2025-01-12,LNG,长住客,3,1.9,841.0,280.0
2025-01-13,FIT-WI,上门散客,10,7.2,4937.0,494.0
2025-01-13,FIT-DIR,官网小程序直销,25,18.1,11359.0,454.0
2025-01-13,FIT-OTA,OTA散客,40,29.0,17097.0,427.0
2025-01-13,CORP,协议公司客户,29,21.0,10643.0,367.0
2025-01-13,LOY,会员忠诚计划,15,10.9,6404.0,427.0
2025-01-13,GRP,团队旅游会议,10,7.2,3090.0,309.0
2025-01-13,LNG,长住客,3,2.2,833.0,278.0
2025-01-14,FIT-WI,上门散客,11,7.7,6269.0,570.0
2025-01-14,FIT-DIR,官网小程序直销,24,16.8,12456.0,519.0
2025-01-14,FIT-OTA,OTA散客,42,29.4,18659.0,444.0
2025-01-14,CORP,协议公司客户,34,23.8,13815.0,406.0
2025-01-14,LOY,会员忠诚计划,18,12.6,8138.0,452.0
2025-01-14,GRP,团队旅游会议,11,7.7,3909.0,355.0
2025-01-14,LNG,长住客,3,2.1,864.0,288.0
2025-01-15,FIT-WI,上门散客,11,8.0,5771.0,525.0
2025-01-15,FIT-DIR,官网小程序直销,22,15.9,10221.0,465.0
2025-01-15,FIT-OTA,OTA散客,41,29.7,17808.0,434.0
2025-01-15,CORP,协议公司客户,32,23.2,11693.0,365.0
2025-01-15,LOY,会员忠诚计划,18,13.0,7642.0,425.0
2025-01-15,GRP,团队旅游会议,11,8.0,3558.0,323.0
2025-01-15,LNG,长住客,3,2.2,855.0,285.0
2025-01-16,FIT-WI,上门散客,11,7.1,5925.0,539.0
2025-01-16,FIT-DIR,官网小程序直销,28,18.1,13448.0,480.0
2025-01-16,FIT-OTA,OTA散客,49,31.6,21291.0,435.0
2025-01-16,CORP,协议公司客户,31,20.0,11776.0,380.0
2025-01-16,LOY,会员忠诚计划,19,12.3,8244.0,434.0
2025-01-16,GRP,团队旅游会议,11,7.1,3600.0,327.0
2025-01-16,LNG,长住客,3,1.9,810.0,270.0
2025-01-17,FIT-WI,上门散客,11,7.3,6111.0,556.0
2025-01-17,FIT-DIR,官网小程序直销,25,16.6,13060.0,522.0
2025-01-17,FIT-OTA,OTA散客,45,29.8,20655.0,459.0
2025-01-17,CORP,协议公司客户,36,23.8,14330.0,398.0
2025-01-17,LOY,会员忠诚计划,17,11.3,7906.0,465.0
2025-01-17,GRP,团队旅游会议,13,8.6,4440.0,342.0
2025-01-17,LNG,长住客,3,2.0,866.0,289.0
2025-01-18,FIT-WI,上门散客,14,8.1,8195.0,585.0
2025-01-18,FIT-DIR,官网小程序直销,28,16.3,15632.0,558.0
2025-01-18,FIT-OTA,OTA散客,57,33.1,27587.0,484.0
2025-01-18,CORP,协议公司客户,41,23.8,17516.0,427.0
2025-01-18,LOY,会员忠诚计划,21,12.2,9948.0,474.0
2025-01-18,GRP,团队旅游会议,14,8.1,5393.0,385.0
2025-01-18,LNG,长住客,3,1.7,964.0,321.0
2025-01-19,FIT-WI,上门散客,13,8.6,7040.0,542.0
2025-01-19,FIT-DIR,官网小程序直销,28,18.5,13975.0,499.0
2025-01-19,FIT-OTA,OTA散客,49,32.5,21792.0,445.0
2025-01-19,CORP,协议公司客户,36,23.8,13637.0,379.0
2025-01-19,LOY,会员忠诚计划,18,11.9,7946.0,441.0
2025-01-19,GRP,团队旅游会议,12,7.9,4096.0,341.0
2025-01-19,LNG,长住客,3,2.0,884.0,295.0
2025-01-20,FIT-WI,上门散客,11,8.1,6110.0,555.0
2025-01-20,FIT-DIR,官网小程序直销,21,15.4,9986.0,476.0
2025-01-20,FIT-OTA,OTA散客,43,31.6,18424.0,428.0
2025-01-20,CORP,协议公司客户,33,24.3,12580.0,381.0
2025-01-20,LOY,会员忠诚计划,16,11.8,6986.0,437.0
2025-01-20,GRP,团队旅游会议,12,8.8,4074.0,340.0
2025-01-20,LNG,长住客,3,2.2,816.0,272.0
2025-01-21,FIT-WI,上门散客,12,8.2,6325.0,527.0
2025-01-21,FIT-DIR,官网小程序直销,22,15.1,10613.0,482.0
2025-01-21,FIT-OTA,OTA散客,42,28.8,19088.0,454.0
2025-01-21,CORP,协议公司客户,29,19.9,10837.0,374.0
2025-01-21,LOY,会员忠诚计划,19,13.0,7952.0,419.0
2025-01-21,GRP,团队旅游会议,12,8.2,4059.0,338.0
2025-01-21,LNG,长住客,3,2.1,812.0,271.0
2025-01-22,FIT-WI,上门散客,11,7.3,5913.0,538.0
2025-01-22,FIT-DIR,官网小程序直销,25,16.6,12052.0,482.0
2025-01-22,FIT-OTA,OTA散客,46,30.5,20396.0,443.0
2025-01-22,CORP,协议公司客户,31,20.5,11867.0,383.0
2025-01-22,LOY,会员忠诚计划,16,10.6,6617.0,414.0
2025-01-22,GRP,团队旅游会议,12,7.9,3898.0,325.0
2025-01-22,LNG,长住客,3,2.0,848.0,283.0
2025-01-23,FIT-WI,上门散客,12,8.5,6399.0,533.0
2025-01-23,FIT-DIR,官网小程序直销,24,17.0,11520.0,480.0
2025-01-23,FIT-OTA,OTA散客,45,31.9,19496.0,433.0
2025-01-23,CORP,协议公司客户,33,23.4,12728.0,386.0
2025-01-23,LOY,会员忠诚计划,17,12.1,7149.0,421.0
2025-01-23,GRP,团队旅游会议,12,8.5,3806.0,317.0
2025-01-23,LNG,长住客,3,2.1,850.0,283.0
2025-01-24,FIT-WI,上门散客,14,8.6,7712.0,551.0
2025-01-24,FIT-DIR,官网小程序直销,27,16.6,14155.0,524.0
2025-01-24,FIT-OTA,OTA散客,49,30.1,23403.0,478.0
2025-01-24,CORP,协议公司客户,37,22.7,15369.0,415.0
2025-01-24,LOY,会员忠诚计划,21,12.9,9430.0,449.0
2025-01-24,GRP,团队旅游会议,13,8.0,4637.0,357.0
2025-01-24,LNG,长住客,3,1.8,899.0,300.0
2025-01-25,FIT-WI,上门散客,14,7.7,8062.0,576.0
2025-01-25,FIT-DIR,官网小程序直销,34,18.6,18614.0,547.0
2025-01-25,FIT-OTA,OTA散客,60,32.8,29933.0,499.0
2025-01-25,CORP,协议公司客户,42,23.0,17643.0,420.0
2025-01-25,LOY,会员忠诚计划,21,11.5,9692.0,462.0
2025-01-25,GRP,团队旅游会议,14,7.7,5287.0,378.0
2025-01-25,LNG,长住客,3,1.6,930.0,310.0
2025-01-26,FIT-WI,上门散客,13,8.3,7541.0,580.0
2025-01-26,FIT-DIR,官网小程序直销,28,17.9,14009.0,500.0
2025-01-26,FIT-OTA,OTA散客,49,31.4,23258.0,475.0
2025-01-26,CORP,协议公司客户,32,20.5,12705.0,397.0
2025-01-26,LOY,会员忠诚计划,19,12.2,8866.0,467.0
2025-01-26,GRP,团队旅游会议,12,7.7,4096.0,341.0
2025-01-26,LNG,长住客,3,1.9,904.0,301.0
2025-01-27,FIT-WI,上门散客,11,8.3,6291.0,572.0
2025-01-27,FIT-DIR,官网小程序直销,22,16.7,11270.0,512.0
2025-01-27,FIT-OTA,OTA散客,43,32.6,19072.0,444.0
2025-01-27,CORP,协议公司客户,29,22.0,11381.0,392.0
2025-01-27,LOY,会员忠诚计划,17,12.9,7274.0,428.0
2025-01-27,GRP,团队旅游会议,10,7.6,3487.0,349.0
2025-01-27,LNG,长住客,3,2.3,873.0,291.0
2025-01-28,FIT-WI,上门散客,13,9.0,7138.0,549.0
2025-01-28,FIT-DIR,官网小程序直销,24,16.6,11818.0,492.0
2025-01-28,FIT-OTA,OTA散客,42,29.0,19885.0,473.0
2025-01-28,CORP,协议公司客户,31,21.4,12141.0,392.0
2025-01-28,LOY,会员忠诚计划,17,11.7,7414.0,436.0
2025-01-28,GRP,团队旅游会议,12,8.3,4051.0,338.0
2025-01-28,LNG,长住客,3,2.1,837.0,279.0
2025-01-29,FIT-WI,上门散客,18,8.3,13151.0,731.0
2025-01-29,FIT-DIR,官网小程序直销,39,17.9,25042.0,642.0
2025-01-29,FIT-OTA,OTA散客,66,30.3,39584.0,600.0
2025-01-29,CORP,协议公司客户,47,21.6,24613.0,524.0
2025-01-29,LOY,会员忠诚计划,27,12.4,16207.0,600.0
2025-01-29,GRP,团队旅游会议,16,7.3,7209.0,451.0
2025-01-29,LNG,长住客,4,1.8,1522.0,381.0
2025-01-30,FIT-WI,上门散客,20,8.5,14616.0,731.0
2025-01-30,FIT-DIR,官网小程序直销,38,16.2,24997.0,658.0
2025-01-30,FIT-OTA,OTA散客,73,31.1,45897.0,629.0
2025-01-30,CORP,协议公司客户,52,22.1,28321.0,545.0
2025-01-30,LOY,会员忠诚计划,29,12.3,17257.0,595.0
2025-01-30,GRP,团队旅游会议,20,8.5,9177.0,459.0
2025-01-30,LNG,长住客,4,1.7,1593.0,398.0
2025-01-31,FIT-WI,上门散客,22,8.3,15859.0,721.0
2025-01-31,FIT-DIR,官网小程序直销,47,17.8,30855.0,656.0
2025-01-31,FIT-OTA,OTA散客,90,34.1,57913.0,643.0
2025-01-31,CORP,协议公司客户,55,20.8,30225.0,550.0
2025-01-31,LOY,会员忠诚计划,29,11.0,17189.0,593.0
2025-01-31,GRP,团队旅游会议,19,7.2,9067.0,477.0
2025-01-31,LNG,长住客,5,1.9,1943.0,389.0
2025-02-01,FIT-WI,上门散客,26,8.4,20543.0,790.0
2025-02-01,FIT-DIR,官网小程序直销,55,17.7,39872.0,725.0
2025-02-01,FIT-OTA,OTA散客,90,29.0,57015.0,633.0
2025-02-01,CORP,协议公司客户,69,22.3,40259.0,583.0
2025-02-01,LOY,会员忠诚计划,40,12.9,25286.0,632.0
2025-02-01,GRP,团队旅游会议,27,8.7,13877.0,514.0
2025-02-01,LNG,长住客,6,1.9,2534.0,422.0
2025-02-02,FIT-WI,上门散客,23,8.8,17008.0,739.0
2025-02-02,FIT-DIR,官网小程序直销,43,16.5,31067.0,722.0
2025-02-02,FIT-OTA,OTA散客,76,29.2,48433.0,637.0
2025-02-02,CORP,协议公司客户,62,23.8,33599.0,542.0
2025-02-02,LOY,会员忠诚计划,28,10.8,16990.0,607.0
2025-02-02,GRP,团队旅游会议,20,7.7,9301.0,465.0
2025-02-02,LNG,长住客,6,2.3,2400.0,400.0
2025-02-03,FIT-WI,上门散客,18,7.7,12797.0,711.0
2025-02-03,FIT-DIR,官网小程序直销,41,17.4,26922.0,657.0
2025-02-03,FIT-OTA,OTA散客,69,29.4,42588.0,617.0
2025-02-03,CORP,协议公司客户,55,23.4,29535.0,537.0
2025-02-03,LOY,会员忠诚计划,26,11.1,14645.0,563.0
2025-02-03,GRP,团队旅游会议,21,8.9,9539.0,454.0
2025-02-03,LNG,长住客,5,2.1,1943.0,389.0
2025-02-04,FIT-WI,上门散客,19,7.9,14257.0,750.0
2025-02-04,FIT-DIR,官网小程序直销,39,16.2,26053.0,668.0
2025-02-04,FIT-OTA,OTA散客,75,31.2,45185.0,602.0
2025-02-04,CORP,协议公司客户,56,23.3,28595.0,511.0
2025-02-04,LOY,会员忠诚计划,32,13.3,19179.0,599.0
2025-02-04,GRP,团队旅游会议,19,7.9,8472.0,446.0
2025-02-04,LNG,长住客,5,2.1,1876.0,375.0
2025-02-05,FIT-WI,上门散客,14,8.9,7468.0,533.0
2025-02-05,FIT-DIR,官网小程序直销,24,15.3,11310.0,471.0
2025-02-05,FIT-OTA,OTA散客,49,31.2,21134.0,431.0
2025-02-05,CORP,协议公司客户,35,22.3,13637.0,390.0
2025-02-05,LOY,会员忠诚计划,19,12.1,8219.0,433.0
2025-02-05,GRP,团队旅游会议,13,8.3,4392.0,338.0
2025-02-05,LNG,长住客,3,1.9,820.0,273.0
2025-02-06,FIT-WI,上门散客,11,7.2,6333.0,576.0
2025-02-06,FIT-DIR,官网小程序直销,26,17.1,12816.0,493.0
2025-02-06,FIT-OTA,OTA散客,51,33.6,24784.0,486.0
2025-02-06,CORP,协议公司客户,35,23.0,14087.0,402.0
2025-02-06,LOY,会员忠诚计划,18,11.8,8043.0,447.0
2025-02-06,GRP,团队旅游会议,11,7.2,4038.0,367.0
2025-02-06,LNG,长住客,3,2.0,910.0,303.0
2025-02-07,FIT-WI,上门散客,14,8.6,8793.0,628.0
2025-02-07,FIT-DIR,官网小程序直销,26,16.0,14623.0,562.0
2025-02-07,FIT-OTA,OTA散客,49,30.2,25823.0,527.0
2025-02-07,CORP,协议公司客户,34,21.0,14585.0,429.0
2025-02-07,LOY,会员忠诚计划,21,13.0,10376.0,494.0
2025-02-07,GRP,团队旅游会议,14,8.6,5227.0,373.0
2025-02-07,LNG,长住客,3,1.9,947.0,316.0
2025-02-08,FIT-WI,上门散客,17,8.6,9829.0,578.0
2025-02-08,FIT-DIR,官网小程序直销,30,15.2,16058.0,535.0
2025-02-08,FIT-OTA,OTA散客,66,33.5,33264.0,504.0
2025-02-08,CORP,协议公司客户,46,23.4,19545.0,425.0
2025-02-08,LOY,会员忠诚计划,23,11.7,10528.0,458.0
2025-02-08,GRP,团队旅游会议,16,8.1,6039.0,377.0
2025-02-08,LNG,长住客,4,2.0,1239.0,310.0
2025-02-09,FIT-WI,上门散客,15,8.7,8096.0,540.0
2025-02-09,FIT-DIR,官网小程序直销,29,16.9,14225.0,491.0
2025-02-09,FIT-OTA,OTA散客,51,29.7,23099.0,453.0
2025-02-09,CORP,协议公司客户,41,23.8,16511.0,403.0
2025-02-09,LOY,会员忠诚计划,22,12.8,10080.0,458.0
2025-02-09,GRP,团队旅游会议,14,8.1,4913.0,351.0
2025-02-09,LNG,长住客,3,1.7,849.0,283.0
2025-02-10,FIT-WI,上门散客,12,8.1,6266.0,522.0
2025-02-10,FIT-DIR,官网小程序直销,23,15.4,10658.0,463.0
2025-02-10,FIT-OTA,OTA散客,47,31.5,20828.0,443.0
2025-02-10,CORP,协议公司客户,33,22.1,12167.0,369.0
2025-02-10,LOY,会员忠诚计划,19,12.8,7795.0,410.0
2025-02-10,GRP,团队旅游会议,12,8.1,3840.0,320.0
2025-02-10,LNG,长住客,3,2.0,854.0,285.0
2025-02-11,FIT-WI,上门散客,11,7.4,6239.0,567.0
2025-02-11,FIT-DIR,官网小程序直销,28,18.8,14518.0,518.0
2025-02-11,FIT-OTA,OTA散客,51,34.2,23503.0,461.0
2025-02-11,CORP,协议公司客户,36,24.2,15069.0,419.0
2025-02-11,LOY,会员忠诚计划,19,12.8,8843.0,465.0
2025-02-11,GRP,团队旅游会议,11,7.4,4017.0,365.0
2025-02-11,LNG,长住客,3,2.0,919.0,306.0
2025-02-12,FIT-WI,上门散客,13,8.1,7275.0,560.0
2025-02-12,FIT-DIR,官网小程序直销,25,15.6,13260.0,530.0
2025-02-12,FIT-OTA,OTA散客,54,33.8,25442.0,471.0
2025-02-12,CORP,协议公司客户,32,20.0,13597.0,425.0
2025-02-12,LOY,会员忠诚计划,18,11.2,8536.0,474.0
2025-02-12,GRP,团队旅游会议,14,8.8,4858.0,347.0
2025-02-12,LNG,长住客,3,1.9,880.0,293.0
2025-02-13,FIT-WI,上门散客,13,7.9,7369.0,567.0
2025-02-13,FIT-DIR,官网小程序直销,29,17.7,14320.0,494.0
2025-02-13,FIT-OTA,OTA散客,53,32.3,24962.0,471.0
2025-02-13,CORP,协议公司客户,39,23.8,15958.0,409.0
2025-02-13,LOY,会员忠诚计划,18,11.0,8260.0,459.0
2025-02-13,GRP,团队旅游会议,12,7.3,4073.0,339.0
2025-02-13,LNG,长住客,3,1.8,852.0,284.0
2025-02-14,FIT-WI,上门散客,12,7.4,7026.0,586.0
2025-02-14,FIT-DIR,官网小程序直销,27,16.6,13635.0,505.0
2025-02-14,FIT-OTA,OTA散客,46,28.2,21355.0,464.0
2025-02-14,CORP,协议公司客户,39,23.9,16303.0,418.0
2025-02-14,LOY,会员忠诚计划,21,12.9,9810.0,467.0
2025-02-14,GRP,团队旅游会议,13,8.0,4781.0,368.0
2025-02-14,LNG,长住客,3,1.8,876.0,292.0
2025-02-15,FIT-WI,上门散客,15,7.8,9369.0,625.0
2025-02-15,FIT-DIR,官网小程序直销,31,16.1,17928.0,578.0
2025-02-15,FIT-OTA,OTA散客,63,32.8,32822.0,521.0
2025-02-15,CORP,协议公司客户,46,24.0,20953.0,455.0
2025-02-15,LOY,会员忠诚计划,22,11.5,10657.0,484.0
2025-02-15,GRP,团队旅游会议,15,7.8,5851.0,390.0
2025-02-15,LNG,长住客,4,2.1,1341.0,335.0
2025-02-16,FIT-WI,上门散客,14,8.6,8224.0,587.0
2025-02-16,FIT-DIR,官网小程序直销,25,15.3,12482.0,499.0
2025-02-16,FIT-OTA,OTA散客,50,30.7,23236.0,465.0
2025-02-16,CORP,协议公司客户,37,22.7,15075.0,407.0
2025-02-16,LOY,会员忠诚计划,18,11.0,8528.0,474.0
2025-02-16,GRP,团队旅游会议,12,7.4,4233.0,353.0
2025-02-16,LNG,长住客,3,1.8,888.0,296.0
2025-02-17,FIT-WI,上门散客,10,7.6,5275.0,527.0
2025-02-17,FIT-DIR,官网小程序直销,24,18.3,11559.0,482.0
2025-02-17,FIT-OTA,OTA散客,43,32.8,18779.0,437.0
2025-02-17,CORP,协议公司客户,32,24.4,12648.0,395.0
2025-02-17,LOY,会员忠诚计划,15,11.5,6736.0,449.0
2025-02-17,GRP,团队旅游会议,10,7.6,3359.0,336.0
2025-02-17,LNG,长住客,3,2.3,828.0,276.0
2025-02-18,FIT-WI,上门散客,12,8.2,6218.0,518.0
2025-02-18,FIT-DIR,官网小程序直销,25,17.1,12148.0,486.0
2025-02-18,FIT-OTA,OTA散客,44,30.1,20171.0,458.0
2025-02-18,CORP,协议公司客户,34,23.3,13224.0,389.0
2025-02-18,LOY,会员忠诚计划,18,12.3,7777.0,432.0
2025-02-18,GRP,团队旅游会议,12,8.2,4050.0,338.0
2025-02-18,LNG,长住客,3,2.1,835.0,278.0
2025-02-19,FIT-WI,上门散客,12,8.2,6995.0,583.0
2025-02-19,FIT-DIR,官网小程序直销,25,17.1,12962.0,518.0
2025-02-19,FIT-OTA,OTA散客,42,28.8,20555.0,489.0
2025-02-19,CORP,协议公司客户,31,21.2,12497.0,403.0
2025-02-19,LOY,会员忠诚计划,17,11.6,7682.0,452.0
2025-02-19,GRP,团队旅游会议,12,8.2,4349.0,362.0
2025-02-19,LNG,长住客,3,2.1,876.0,292.0
2025-02-20,FIT-WI,上门散客,13,8.4,7440.0,572.0
2025-02-20,FIT-DIR,官网小程序直销,25,16.1,12311.0,492.0
2025-02-20,FIT-OTA,OTA散客,44,28.4,19927.0,453.0
2025-02-20,CORP,协议公司客户,36,23.2,14588.0,405.0
2025-02-20,LOY,会员忠诚计划,19,12.3,9034.0,475.0
2025-02-20,GRP,团队旅游会议,13,8.4,4555.0,350.0
2025-02-20,LNG,长住客,3,1.9,923.0,308.0
2025-02-21,FIT-WI,上门散客,13,7.9,7524.0,579.0
2025-02-21,FIT-DIR,官网小程序直销,30,18.2,15276.0,509.0
2025-02-21,FIT-OTA,OTA散客,47,28.5,22041.0,469.0
2025-02-21,CORP,协议公司客户,33,20.0,13270.0,402.0
2025-02-21,LOY,会员忠诚计划,18,10.9,8458.0,470.0
2025-02-21,GRP,团队旅游会议,14,8.5,5010.0,358.0
2025-02-21,LNG,长住客,4,2.4,1227.0,307.0
2025-02-22,FIT-WI,上门散客,15,7.7,8988.0,599.0
2025-02-22,FIT-DIR,官网小程序直销,30,15.5,16002.0,533.0
2025-02-22,FIT-OTA,OTA散客,65,33.5,30962.0,476.0
2025-02-22,CORP,协议公司客户,44,22.7,19341.0,440.0
2025-02-22,LOY,会员忠诚计划,24,12.4,10969.0,457.0
2025-02-22,GRP,团队旅游会议,16,8.2,5968.0,373.0
2025-02-22,LNG,长住客,4,2.1,1263.0,316.0
2025-02-23,FIT-WI,上门散客,14,8.0,8319.0,594.0
2025-02-23,FIT-DIR,官网小程序直销,28,15.9,14552.0,520.0
2025-02-23,FIT-OTA,OTA散客,55,31.2,27954.0,508.0
2025-02-23,CORP,协议公司客户,40,22.7,17518.0,438.0
2025-02-23,LOY,会员忠诚计划,21,11.9,10255.0,488.0
2025-02-23,GRP,团队旅游会议,15,8.5,5648.0,377.0
2025-02-23,LNG,长住客,4,2.3,1235.0,309.0
2025-02-24,FIT-WI,上门散客,14,8.9,7741.0,553.0
2025-02-24,FIT-DIR,官网小程序直销,25,15.9,12525.0,501.0
2025-02-24,FIT-OTA,OTA散客,46,29.3,20954.0,456.0
2025-02-24,CORP,协议公司客户,32,20.4,12184.0,381.0
2025-02-24,LOY,会员忠诚计划,20,12.7,8422.0,421.0
2025-02-24,GRP,团队旅游会议,12,7.6,3897.0,325.0
2025-02-24,LNG,长住客,3,1.9,860.0,287.0
2025-02-25,FIT-WI,上门散客,12,8.2,6599.0,550.0
2025-02-25,FIT-DIR,官网小程序直销,23,15.8,11473.0,499.0
2025-02-25,FIT-OTA,OTA散客,42,28.8,18902.0,450.0
2025-02-25,CORP,协议公司客户,35,24.0,13205.0,377.0
2025-02-25,LOY,会员忠诚计划,17,11.6,7384.0,434.0
2025-02-25,GRP,团队旅游会议,11,7.5,3772.0,343.0
2025-02-25,LNG,长住客,3,2.1,838.0,279.0
2025-02-26,FIT-WI,上门散客,12,7.7,6913.0,576.0
2025-02-26,FIT-DIR,官网小程序直销,29,18.7,14718.0,508.0
2025-02-26,FIT-OTA,OTA散客,52,33.5,24633.0,474.0
2025-02-26,CORP,协议公司客户,31,20.0,12829.0,414.0
2025-02-26,LOY,会员忠诚计划,17,11.0,7849.0,462.0
2025-02-26,GRP,团队旅游会议,12,7.7,4228.0,352.0
2025-02-26,LNG,长住客,3,1.9,892.0,297.0
2025-02-27,FIT-WI,上门散客,13,8.1,7372.0,567.0
2025-02-27,FIT-DIR,官网小程序直销,26,16.2,13864.0,533.0
2025-02-27,FIT-OTA,OTA散客,51,31.9,25546.0,501.0
2025-02-27,CORP,协议公司客户,36,22.5,15005.0,417.0
2025-02-27,LOY,会员忠诚计划,20,12.5,9307.0,465.0
2025-02-27,GRP,团队旅游会议,14,8.8,5167.0,369.0
2025-02-27,LNG,长住客,3,1.9,899.0,300.0
2025-02-28,FIT-WI,上门散客,12,7.3,7006.0,584.0
