入住日,星期,需求等级,A 江畔万枫酒店,B 滨江希尔顿花园,C 钱塘智选假日,D 星光开元名都,E 云栖亚朵S,竞争组合加权均价,本店SUP BAR,ARI
2026-05-08,五,D3,658,670,541,838,606,673,700,104.7
2026-05-09,六,D2,719,801,658,959,675,775,790,101.4
2026-05-10,日,D2,713,745,613,995,675,763,830,109.0
2026-05-11,一,D3,653,674,540,888,636,689,770,112.1
2026-05-12,二,D3,669,722,539,867,636,696,820,117.7
2026-05-13,三,D3,654,721,569,890,614,702,610,87.5
2026-05-14,四,D3,632,678,565,903,624,693,610,88.2
2026-05-15,五,D3,632,659,573,900,613,690,660,95.1
2026-05-16,六,D2,709,782,638,1007,673,777,750,96.2
2026-05-17,日,D2,765,795,632,1007,686,791,800,101.4
2026-05-18,一,D3,663,660,583,885,607,693,690,98.8
2026-05-19,二,D3,628,721,557,855,605,683,700,102.4
2026-05-20,三,D3,655,666,541,857,609,677,750,110.2
2026-05-21,四,D3,647,700,586,841,591,684,790,114.8
2026-05-22,五,D3,633,696,565,855,591,680,790,116.0
2026-05-23,六,D2,757,778,639,987,701,785,630,79.6
2026-05-24,日,D2,742,814,636,1039,691,800,700,86.9
2026-05-25,一,D3,668,671,584,919,633,709,680,95.9
2026-05-26,二,D3,639,668,542,845,642,676,620,92.2
2026-05-27,三,D3,664,693,534,858,632,686,720,104.4
2026-05-28,四,D3,678,703,540,879,599,692,690,99.2
2026-05-29,五,D3,680,706,565,836,619,690,700,101.5
