日期,星期,可售房量,已售房晚,OCC,客房收入,ADR,RevPAR,餐饮收入,其他收入,总营收,需求等级,是否节假日,事件,已知异常
2025-02-21,五,320,165,51.6,81256.0,492.0,254.0,42501.0,6930.0,130687.0,D4,否,,
2025-02-22,六,320,194,60.6,97806.0,504.0,306.0,53836.0,8769.0,160412.0,D4,否,,
2025-02-23,日,320,176,55.0,88846.0,505.0,278.0,47204.0,6307.0,142357.0,D4,否,,
2025-02-24,一,320,157,49.1,72689.0,463.0,227.0,37214.0,4834.0,114736.0,D4,否,,
2025-02-25,二,320,146,45.6,67073.0,459.0,210.0,34671.0,6626.0,108370.0,D4,否,,
2025-02-26,三,320,155,48.4,77336.0,499.0,242.0,39394.0,7731.0,124461.0,D4,否,,
2025-02-27,四,320,160,50.0,79638.0,498.0,249.0,47166.0,5796.0,132600.0,D4,否,,
2025-02-28,五,320,165,51.6,84442.0,512.0,264.0,47380.0,8255.0,140077.0,D4,否,,
2025-03-01,六,320,277,86.6,180926.0,653.0,565.0,107263.0,12060.0,300249.0,D3,否,,
2025-03-02,日,320,238,74.4,145180.0,610.0,454.0,86234.0,11601.0,243015.0,D3,否,,
2025-03-03,一,320,200,62.5,110282.0,551.0,345.0,66395.0,10425.0,187101.0,D3,否,,
2025-03-04,二,320,200,62.5,109103.0,546.0,341.0,66629.0,9552.0,185284.0,D3,否,,
2025-03-05,三,320,211,65.9,122230.0,579.0,382.0,63892.0,11650.0,197772.0,D3,否,,
2025-03-06,四,320,231,72.2,134026.0,580.0,419.0,75656.0,10098.0,219779.0,D3,否,,
2025-03-07,五,320,237,74.1,149714.0,632.0,468.0,75537.0,14053.0,239304.0,D3,否,,
2025-03-08,六,320,264,82.5,174503.0,661.0,545.0,104191.0,10738.0,289431.0,D3,否,,
2025-03-09,日,320,234,73.1,140415.0,600.0,439.0,83269.0,13570.0,237254.0,D3,否,,
2025-03-10,一,320,196,61.3,111626.0,570.0,349.0,57332.0,10374.0,179333.0,D3,否,,
2025-03-11,二,320,211,65.9,112053.0,531.0,350.0,58341.0,8779.0,179173.0,D3,否,,
2025-03-12,三,320,202,63.1,108925.0,539.0,340.0,63034.0,10367.0,182326.0,D3,否,,
2025-03-13,四,320,220,68.8,129231.0,587.0,404.0,80011.0,9134.0,218375.0,D3,否,,
2025-03-14,五,320,237,74.1,148104.0,625.0,463.0,76654.0,11528.0,236286.0,D3,否,,
2025-03-15,六,320,267,83.4,160597.0,601.0,502.0,91972.0,13736.0,266305.0,D3,否,,
2025-03-16,日,320,228,71.2,138240.0,606.0,432.0,71935.0,9147.0,219322.0,D3,否,,
2025-03-17,一,320,198,61.9,109994.0,556.0,344.0,65574.0,10603.0,186171.0,D3,否,,
2025-03-18,二,320,271,84.7,166414.0,614.0,520.0,108282.0,10018.0,284714.0,D1,否,滨江动漫节,暴涨
2025-03-19,三,320,285,89.1,181194.0,636.0,566.0,129517.0,16461.0,327172.0,D1,否,滨江动漫节,
2025-03-20,四,320,231,72.2,135920.0,588.0,425.0,75042.0,9941.0,220903.0,D3,否,,
2025-03-21,五,320,262,81.9,162520.0,620.0,508.0,87034.0,12608.0,262162.0,D3,否,,
2025-03-22,六,320,285,89.1,182019.0,639.0,569.0,92967.0,16567.0,291554.0,D3,否,,
2025-03-23,日,320,233,72.8,129501.0,556.0,405.0,68775.0,11420.0,209696.0,D3,否,,
2025-03-24,一,320,200,62.5,107667.0,538.0,336.0,54974.0,9338.0,171979.0,D3,否,,
2025-03-25,二,320,203,63.4,111931.0,551.0,350.0,62714.0,10952.0,185597.0,D3,否,,
2025-03-26,三,320,219,68.4,116512.0,532.0,364.0,64550.0,7444.0,188506.0,D3,否,,
2025-03-27,四,320,209,65.3,120467.0,576.0,376.0,74629.0,7302.0,202398.0,D3,否,,
2025-03-28,五,320,243,75.9,139676.0,575.0,436.0,79820.0,12659.0,232155.0,D3,否,,
2025-03-29,六,320,274,85.6,164941.0,602.0,515.0,96389.0,14734.0,276064.0,D3,否,,
2025-03-30,日,320,231,72.2,127775.0,553.0,399.0,75850.0,9231.0,212856.0,D3,否,,
2025-03-31,一,320,215,67.2,116656.0,543.0,365.0,66551.0,11658.0,194865.0,D3,否,,
2025-04-01,二,320,248,77.5,151026.0,609.0,472.0,78014.0,14442.0,243482.0,D3,否,,
2025-04-02,三,320,239,74.7,141981.0,594.0,444.0,87374.0,13650.0,243005.0,D3,否,,
2025-04-03,四,320,246,76.9,158012.0,642.0,494.0,81016.0,14991.0,254020.0,D3,否,,
2025-04-04,五,320,306,95.6,211500.0,691.0,661.0,127781.0,20610.0,359892.0,D2,是,清明,
2025-04-05,六,320,318,99.4,231011.0,726.0,722.0,141726.0,17808.0,390545.0,D2,是,清明,
2025-04-06,日,320,308,96.2,226644.0,736.0,708.0,120230.0,20956.0,367830.0,D2,是,清明,
2025-04-07,一,320,226,70.6,135834.0,601.0,424.0,72692.0,12010.0,220536.0,D3,否,,
2025-04-08,二,320,243,75.9,149077.0,613.0,466.0,81674.0,11527.0,242278.0,D3,否,,
2025-04-09,三,320,241,75.3,150538.0,625.0,470.0,78725.0,10987.0,240251.0,D3,否,,
2025-04-10,四,320,236,73.8,148157.0,628.0,463.0,90489.0,9103.0,247749.0,D3,否,,
2025-04-11,五,320,299,93.4,216314.0,723.0,676.0,125546.0,14658.0,356518.0,D2,否,,
2025-04-12,六,320,318,99.4,228126.0,717.0,713.0,141116.0,17648.0,386889.0,D2,否,,
2025-04-13,日,320,245,76.6,163483.0,667.0,511.0,92028.0,13655.0,269166.0,D3,否,,
2025-04-14,一,320,236,73.8,142690.0,605.0,446.0,83283.0,9497.0,235470.0,D3,否,,
2025-04-15,二,320,245,76.6,145037.0,592.0,453.0,81225.0,13044.0,239307.0,D3,否,,
2025-04-16,三,320,248,77.5,149723.0,604.0,468.0,85030.0,14282.0,249035.0,D3,否,,
2025-04-17,四,320,233,72.8,150193.0,645.0,469.0,78909.0,14043.0,243145.0,D3,否,,
2025-04-18,五,320,309,96.6,213325.0,690.0,667.0,117113.0,21000.0,351438.0,D2,否,,
2025-04-19,六,320,318,99.4,241807.0,760.0,756.0,131179.0,19754.0,392740.0,D2,否,,
2025-04-20,日,320,249,77.8,155188.0,623.0,485.0,78930.0,9819.0,243937.0,D3,否,,
2025-04-21,一,320,231,72.2,140663.0,609.0,440.0,74736.0,9542.0,224941.0,D3,否,,
2025-04-22,二,320,315,98.4,225461.0,716.0,705.0,139854.0,18188.0,383503.0,D1,否,云栖大会,
2025-04-23,三,320,308,96.2,227635.0,739.0,711.0,153852.0,18923.0,400410.0,D1,否,云栖大会,
2025-04-24,四,320,272,85.0,187279.0,689.0,585.0,111433.0,15890.0,314602.0,D2,否,云栖大会,
2025-04-25,五,320,318,99.4,225416.0,709.0,704.0,128503.0,14475.0,368395.0,D2,否,,
2025-04-26,六,320,318,99.4,239476.0,753.0,748.0,125117.0,17794.0,382387.0,D2,否,,
2025-04-27,日,320,265,82.8,176720.0,667.0,552.0,102694.0,11645.0,291060.0,D3,否,,
2025-04-28,一,320,218,68.1,132618.0,608.0,414.0,73162.0,9981.0,215761.0,D3,否,,
2025-04-29,二,320,224,70.0,135423.0,605.0,423.0,83204.0,8192.0,226819.0,D3,否,,
2025-04-30,三,320,229,71.6,137944.0,602.0,431.0,82053.0,10456.0,230453.0,D3,否,,
2025-05-01,四,320,318,99.4,243433.0,766.0,761.0,159045.0,22780.0,425257.0,D1,是,五一,
2025-05-02,五,320,318,99.4,267194.0,840.0,835.0,186209.0,24365.0,477767.0,D1,是,五一,
2025-05-03,六,320,318,99.4,279585.0,879.0,874.0,183429.0,23695.0,486708.0,D1,是,五一,
2025-05-04,日,320,318,99.4,269505.0,848.0,842.0,185468.0,26588.0,481561.0,D1,是,五一,
2025-05-05,一,320,318,99.4,248977.0,783.0,778.0,166075.0,23495.0,438547.0,D1,是,五一,
2025-05-06,二,320,230,71.9,141315.0,614.0,442.0,83731.0,9256.0,234302.0,D3,否,,
2025-05-07,三,320,254,79.4,158108.0,622.0,494.0,88124.0,13444.0,259676.0,D3,否,,
2025-05-08,四,320,245,76.6,163917.0,669.0,512.0,91658.0,15994.0,271569.0,D3,否,,
2025-05-09,五,320,303,94.7,227192.0,750.0,710.0,133526.0,20346.0,381064.0,D2,否,,
2025-05-10,六,320,318,99.4,246044.0,774.0,769.0,151492.0,16208.0,413745.0,D2,否,,
2025-05-11,日,320,251,78.4,168608.0,672.0,527.0,87498.0,14265.0,270371.0,D3,否,,
2025-05-12,一,320,234,73.1,145424.0,621.0,454.0,74241.0,13105.0,232770.0,D3,否,,
2025-05-13,二,320,234,73.1,150776.0,644.0,471.0,78183.0,10993.0,239953.0,D3,否,,
2025-05-14,三,320,257,80.3,166589.0,648.0,521.0,84992.0,16326.0,267906.0,D3,否,,
2025-05-15,四,320,257,80.3,157922.0,614.0,494.0,85190.0,12652.0,255765.0,D3,否,,
2025-05-16,五,320,308,96.2,235190.0,764.0,735.0,117986.0,23299.0,376475.0,D2,否,,
2025-05-17,六,320,318,99.4,250220.0,787.0,782.0,131029.0,20752.0,402000.0,D2,否,,
2025-05-18,日,320,278,86.9,194628.0,700.0,608.0,104982.0,12029.0,311639.0,D3,否,,
2025-05-19,一,320,225,70.3,136399.0,606.0,426.0,68927.0,9343.0,214669.0,D3,否,,
2025-05-20,二,320,341,106.6,224185.0,657.0,701.0,132401.0,18858.0,375445.0,D3,否,,数据脏
2025-05-21,三,320,250,78.1,161599.0,646.0,505.0,87978.0,15125.0,264702.0,D3,否,,
2025-05-22,四,320,247,77.2,154776.0,627.0,484.0,85242.0,12354.0,252372.0,D3,否,,
2025-05-23,五,320,318,99.4,230247.0,724.0,720.0,137337.0,21813.0,389398.0,D2,否,,
2025-05-24,六,320,318,99.4,237815.0,748.0,743.0,130689.0,19496.0,387999.0,D2,否,,
2025-05-25,日,320,269,84.1,188149.0,699.0,588.0,105867.0,16726.0,310742.0,D3,否,,
2025-05-26,一,320,240,75.0,149072.0,621.0,466.0,76366.0,10251.0,235690.0,D3,否,,
2025-05-27,二,320,243,75.9,158344.0,652.0,495.0,86918.0,10266.0,255528.0,D3,否,,
2025-05-28,三,320,245,76.6,149377.0,610.0,467.0,84032.0,11878.0,245287.0,D3,否,,
2025-05-29,四,320,249,77.8,152805.0,614.0,478.0,92892.0,11422.0,257120.0,D3,否,,
2025-05-30,五,320,315,98.4,234585.0,745.0,733.0,143316.0,17117.0,395018.0,D2,否,,
2025-05-31,六,320,318,99.4,243548.0,766.0,761.0,123507.0,21875.0,388930.0,D2,是,端午,
2025-06-01,日,320,271,84.7,178613.0,659.0,558.0,100069.0,10766.0,289448.0,D2,是,端午,
2025-06-02,一,320,254,79.4,161728.0,637.0,505.0,93842.0,13870.0,269440.0,D2,是,端午,
2025-06-03,二,320,193,60.3,104398.0,541.0,326.0,58429.0,7146.0,169973.0,D4,否,,
2025-06-04,三,320,199,62.2,102995.0,518.0,322.0,63744.0,8676.0,175415.0,D4,否,,
2025-06-05,四,320,192,60.0,101860.0,531.0,318.0,62792.0,9412.0,174063.0,D4,否,,
2025-06-06,五,320,209,65.3,118784.0,568.0,371.0,63456.0,8081.0,190321.0,D4,否,,
2025-06-07,六,320,224,70.0,134281.0,599.0,420.0,78364.0,12646.0,225291.0,D4,否,,
2025-06-08,日,320,205,64.1,112347.0,548.0,351.0,66255.0,8384.0,186986.0,D4,否,,
2025-06-09,一,320,174,54.4,90844.0,522.0,284.0,45505.0,7878.0,144227.0,D4,否,,
2025-06-10,二,320,179,55.9,98692.0,551.0,308.0,50263.0,9343.0,158298.0,D4,否,,
2025-06-11,三,320,187,58.4,98522.0,527.0,308.0,61072.0,9133.0,168727.0,D4,否,,
2025-06-12,四,320,199,62.2,107662.0,541.0,336.0,64640.0,10679.0,182981.0,D4,否,,
2025-06-13,五,320,200,62.5,106811.0,534.0,334.0,61453.0,10283.0,178547.0,D4,否,,
2025-06-14,六,320,318,99.4,230830.0,726.0,721.0,153441.0,18961.0,403232.0,D1,否,星光演唱会,
2025-06-15,日,320,199,62.2,109082.0,548.0,341.0,62339.0,7549.0,178971.0,D4,否,,
2025-06-16,一,320,188,58.8,100792.0,536.0,315.0,58624.0,8976.0,168392.0,D4,否,,
2025-06-17,二,320,185,57.8,100635.0,544.0,314.0,60228.0,10031.0,170894.0,D4,否,,
2025-06-18,三,320,197,61.6,99310.0,504.0,310.0,57123.0,6420.0,162853.0,D4,否,,
2025-06-19,四,320,189,59.1,99674.0,527.0,311.0,51593.0,7056.0,158322.0,D4,否,,
2025-06-20,五,320,251,78.4,155165.0,618.0,485.0,85566.0,14518.0,255250.0,D3,否,,
2025-06-21,六,320,295,92.2,191641.0,650.0,599.0,109925.0,13183.0,314750.0,D3,否,,
2025-06-22,日,320,238,74.4,139303.0,585.0,435.0,78449.0,10794.0,228546.0,D3,否,,
2025-06-23,一,320,214,66.9,124377.0,581.0,389.0,70333.0,10667.0,205377.0,D3,否,,
2025-06-24,二,320,221,69.1,125040.0,566.0,391.0,74187.0,9742.0,208969.0,D3,否,,
2025-06-25,三,320,221,69.1,127348.0,576.0,398.0,70121.0,7732.0,205201.0,D3,否,,渠道异常
2025-06-26,四,320,231,72.2,133002.0,576.0,416.0,70811.0,9151.0,212964.0,D3,否,,
2025-06-27,五,320,247,77.2,149387.0,605.0,467.0,78412.0,14314.0,242113.0,D3,否,,
2025-06-28,六,320,295,92.2,184579.0,626.0,577.0,105095.0,18215.0,307889.0,D3,否,,
2025-06-29,日,320,244,76.2,147463.0,604.0,461.0,77365.0,10018.0,234846.0,D3,否,,
2025-06-30,一,320,214,66.9,124980.0,584.0,391.0,65325.0,8196.0,198501.0,D3,否,,
2025-07-01,二,320,176,55.0,86319.0,490.0,270.0,45425.0,5539.0,137283.0,D4,否,,
2025-07-02,三,320,178,55.6,89236.0,501.0,279.0,46032.0,8500.0,143768.0,D4,否,,
2025-07-03,四,320,171,53.4,87996.0,515.0,275.0,47927.0,8733.0,144656.0,D4,否,,
2025-07-04,五,320,199,62.2,106820.0,537.0,334.0,64759.0,8457.0,180036.0,D4,否,,
2025-07-05,六,320,214,66.9,120129.0,561.0,375.0,73426.0,8835.0,202389.0,D4,否,,
2025-07-06,日,320,189,59.1,95365.0,505.0,298.0,54717.0,5835.0,155917.0,D4,否,,
2025-07-07,一,320,174,54.4,88847.0,511.0,278.0,51042.0,7105.0,146994.0,D4,否,,
2025-07-08,二,320,180,56.2,89877.0,499.0,281.0,53787.0,6206.0,149871.0,D4,否,,
2025-07-09,三,320,111,34.7,55438.0,499.0,173.0,37361.0,5811.0,98610.0,D4,否,,暴跌
2025-07-10,四,320,106,33.1,53312.0,503.0,167.0,37086.0,5709.0,96107.0,D4,否,,暴跌
2025-07-11,五,320,194,60.6,105528.0,544.0,330.0,64728.0,6481.0,176737.0,D4,否,,
2025-07-12,六,320,219,68.4,119399.0,545.0,373.0,62526.0,9153.0,191079.0,D4,否,,
2025-07-13,日,320,189,59.1,101342.0,536.0,317.0,56454.0,9770.0,167566.0,D4,否,,
2025-07-14,一,320,168,52.5,78369.0,466.0,245.0,41901.0,4728.0,124997.0,D4,否,,
2025-07-15,二,320,178,55.6,90195.0,507.0,282.0,51636.0,7258.0,149088.0,D4,否,,
2025-07-16,三,320,171,53.4,84799.0,496.0,265.0,49342.0,5418.0,139560.0,D4,否,,
2025-07-17,四,320,176,55.0,85380.0,485.0,267.0,52879.0,8273.0,146532.0,D4,否,,
2025-07-18,五,320,188,58.8,102155.0,543.0,319.0,60016.0,8900.0,171072.0,D4,否,,
2025-07-19,六,320,217,67.8,119354.0,550.0,373.0,67116.0,8736.0,195206.0,D4,否,,
2025-07-20,日,320,200,62.5,103259.0,516.0,323.0,55940.0,6537.0,165736.0,D4,否,,
2025-07-21,一,320,163,50.9,78864.0,484.0,246.0,40974.0,5250.0,125088.0,D4,否,,
2025-07-22,二,320,180,56.2,93049.0,517.0,291.0,48335.0,5794.0,147177.0,D4,否,,
2025-07-23,三,320,178,55.6,85205.0,479.0,266.0,50701.0,6398.0,142304.0,D4,否,,
2025-07-24,四,320,185,57.8,94396.0,510.0,295.0,49269.0,5760.0,149424.0,D4,否,,
2025-07-25,五,320,205,64.1,102977.0,502.0,322.0,52667.0,7408.0,163052.0,D4,否,,
2025-07-26,六,320,210,65.6,109787.0,523.0,343.0,57835.0,9673.0,177295.0,D4,否,,
2025-07-27,日,320,193,60.3,98822.0,512.0,309.0,52473.0,9148.0,160443.0,D4,否,,
2025-07-28,一,320,175,54.7,84627.0,484.0,264.0,44345.0,8247.0,137219.0,D4,否,,
2025-07-29,二,320,172,53.8,85603.0,498.0,268.0,43169.0,5462.0,134233.0,D4,否,,
2025-07-30,三,320,183,57.2,92457.0,505.0,289.0,50171.0,7144.0,149772.0,D4,否,,
2025-07-31,四,320,187,58.4,94504.0,505.0,295.0,52719.0,6449.0,153672.0,D4,否,,
2025-08-01,五,320,264,82.5,160363.0,607.0,501.0,81616.0,12460.0,254439.0,D3,否,,
2025-08-02,六,320,300,93.8,189993.0,633.0,594.0,102804.0,14799.0,307595.0,D3,否,,
2025-08-03,日,320,245,76.6,148450.0,606.0,464.0,88131.0,11479.0,248060.0,D3,否,,
2025-08-04,一,320,216,67.5,128852.0,597.0,403.0,67577.0,12039.0,208468.0,D3,否,,
2025-08-05,二,320,218,68.1,131734.0,604.0,412.0,79186.0,11094.0,222014.0,D3,否,,
2025-08-06,三,320,212,66.2,128501.0,606.0,402.0,67949.0,11122.0,207572.0,D3,否,,
2025-08-07,四,320,240,75.0,144355.0,601.0,451.0,81302.0,13739.0,239396.0,D3,否,,
2025-08-08,五,320,265,82.8,164801.0,622.0,515.0,94462.0,10800.0,270063.0,D3,否,,
2025-08-09,六,320,299,93.4,199815.0,668.0,624.0,106905.0,18229.0,324949.0,D3,否,,
2025-08-10,日,320,237,74.1,144676.0,610.0,452.0,73850.0,12364.0,230889.0,D3,否,,
2025-08-11,一,320,209,65.3,120268.0,575.0,376.0,71475.0,10088.0,201831.0,D3,否,,
2025-08-12,二,320,218,68.1,127126.0,583.0,397.0,70639.0,11202.0,208967.0,D3,否,,
2025-08-13,三,320,228,71.2,126766.0,556.0,396.0,71569.0,8677.0,207012.0,D3,否,,
2025-08-14,四,320,227,70.9,136521.0,601.0,427.0,73262.0,8507.0,218290.0,D3,否,,
2025-08-15,五,320,250,78.1,151821.0,607.0,474.0,90852.0,11923.0,254596.0,D3,否,,
2025-08-16,六,320,274,85.6,188113.0,687.0,588.0,113522.0,16325.0,317960.0,D3,否,,
2025-08-17,日,320,238,74.4,142768.0,600.0,446.0,83594.0,11473.0,237835.0,D3,否,,
2025-08-18,一,320,226,70.6,127564.0,564.0,399.0,71678.0,12553.0,211795.0,D3,否,,
2025-08-19,二,320,224,70.0,129233.0,577.0,404.0,69421.0,8599.0,207252.0,D3,否,,
2025-08-20,三,320,226,70.6,135238.0,598.0,423.0,78363.0,11576.0,225177.0,D3,否,,
2025-08-21,四,320,240,75.0,146186.0,609.0,457.0,87256.0,11656.0,245098.0,D3,否,,竞对恶意降价
2025-08-22,五,320,278,86.9,181813.0,654.0,568.0,111790.0,13833.0,307436.0,D3,否,,
2025-08-23,六,320,298,93.1,199700.0,670.0,624.0,109312.0,17438.0,326450.0,D3,否,,
2025-08-24,日,320,251,78.4,153717.0,612.0,480.0,88188.0,11147.0,253053.0,D3,否,,
2025-08-25,一,320,217,67.8,122495.0,564.0,383.0,68607.0,11579.0,202680.0,D3,否,,
2025-08-26,二,320,232,72.5,141236.0,609.0,441.0,73611.0,8981.0,223828.0,D3,否,,
2025-08-27,三,320,214,66.9,122330.0,572.0,382.0,66723.0,9441.0,198494.0,D3,否,,
2025-08-28,四,320,219,68.4,128506.0,587.0,402.0,76337.0,11663.0,216507.0,D3,否,,
2025-08-29,五,320,274,85.6,177911.0,649.0,556.0,89191.0,13981.0,281082.0,D3,否,,
2025-08-30,六,320,290,90.6,194701.0,671.0,608.0,111316.0,14048.0,320065.0,D3,否,,
2025-08-31,日,320,258,80.6,152489.0,591.0,477.0,80254.0,10130.0,242873.0,D3,否,,
2025-09-01,一,320,242,75.6,140853.0,582.0,440.0,74634.0,8995.0,224482.0,D3,否,,
2025-09-02,二,320,237,74.1,142670.0,602.0,446.0,86092.0,10927.0,239689.0,D3,否,,
2025-09-03,三,320,246,76.9,155485.0,632.0,486.0,85573.0,14653.0,255711.0,D3,否,,
2025-09-04,四,320,249,77.8,160665.0,645.0,502.0,91676.0,11043.0,263384.0,D3,否,,
2025-09-05,五,320,301,94.1,213307.0,709.0,667.0,122691.0,18426.0,354424.0,D2,否,,
2025-09-06,六,320,318,99.4,238016.0,748.0,744.0,142270.0,21705.0,401992.0,D2,否,,
2025-09-07,日,320,262,81.9,170379.0,650.0,532.0,98608.0,13156.0,282142.0,D3,否,,
2025-09-08,一,320,243,75.9,142202.0,585.0,444.0,81726.0,11996.0,235924.0,D3,否,,
2025-09-09,二,320,250,78.1,154114.0,616.0,482.0,92417.0,10183.0,256714.0,D3,否,,
2025-09-10,三,320,245,76.6,151031.0,616.0,472.0,90079.0,9785.0,250895.0,D3,否,,
2025-09-11,四,320,241,75.3,150274.0,624.0,470.0,78574.0,14756.0,243605.0,D3,否,,
2025-09-12,五,320,317,99.1,214983.0,678.0,672.0,113607.0,18854.0,347443.0,D2,否,,
2025-09-13,六,320,318,99.4,247258.0,778.0,773.0,149300.0,18540.0,415097.0,D2,否,,
2025-09-14,日,320,262,81.9,174808.0,667.0,546.0,95960.0,16671.0,287439.0,D3,否,,
2025-09-15,一,320,222,69.4,129596.0,584.0,405.0,65792.0,8023.0,203411.0,D3,否,,
2025-09-16,二,320,233,72.8,142898.0,613.0,447.0,82837.0,9830.0,235566.0,D3,否,,
2025-09-17,三,320,227,70.9,145895.0,643.0,456.0,79068.0,12368.0,237331.0,D3,否,,
2025-09-18,四,320,237,74.1,152039.0,642.0,475.0,88341.0,10972.0,251353.0,D3,否,,
2025-09-19,五,320,303,94.7,209154.0,690.0,654.0,123354.0,15576.0,348084.0,D2,否,,
2025-09-20,六,320,318,99.4,238690.0,751.0,746.0,146003.0,23611.0,408304.0,D2,否,,
2025-09-21,日,320,251,78.4,168535.0,671.0,527.0,88405.0,14440.0,271380.0,D3,否,,
